42F8D9F0    42F8E074    42F8E6F7    42F8ED7D    42F8F406    42F8FA8D    42F9010F    42F90795    42F90E1A    42F914A1    42F91B27    42F921A9    42F9282E    42F92EB5    3D0B4395    3D0F5C29    
42F94245    42F948CA    42F94F50    42F955D5    42F95C5B    42F962DF    42F96965    42F96FEC    42F9766E    42F97CF4    42F98379    42F98A01    42F99088    42F99706    3D4CCCCD    3D50E560    
42F9AA9C    42F9B122    42F9B7A5    42F9BE28    42F9C4AF    42F9CB35    42F9D1B9    42F9D83E    42F9DEC4    42F9E54A    42F9EBCD    42F9F254    42F9F8D9    42F9FF61    3D872B02    3D89374C    
42FA12F1    42FA1977    42FA1FFA    42FA2681    42FA2D03    42FA338A    42FA3A12    42FA4096    42FA471B    42FA4DA3    42FA5425    42FA5AAC    42FA6131    42FA67B5    3DA7EF9E    3DA9FBE7    
42FA7B47    42FA81CA    42FA8850    42FA8ED3    42FA955B    42FA9BE0    42FAA265    42FAA8EA    42FAAF71    42FAB5F3    42FABC7E    42FAC2FF    42FAC985    42FAD00C    3DC8B439    3DCAC083    
42FAE39F    42FAEA1E    42FAF0A4    42FAF72A    42FAFDB1    42FB0433    42FB0AB8    42FB1142    42FB17C4    42FB1E4B    42FB24CF    42FB2B54    42FB31DC    42FB3861    3DE978D5    3DEB851F    
42FB4BEF    42FB5274    42FB58FC    42FB5F83    42FB6605    42FB6C89    42FB730F    42FB7996    42FB801B    42FB869D    42FB8D22    42FB93A9    42FB9A2F    42FBA0B4    3E051EB8    3E0624DD    
42FBB448    42FBBACC    42FBC153    42FBC7D3    42FBCE5B    42FBD4DD    42FBDB64    42FBE1EB    42FBE870    42FBEEF6    42FBF578    42FBFC02    42FC0285    42FC090B    3E158106    3E16872B    
42FC1C9A    42FC231E    42FC29A3    42FC3029    42FC36AE    42FC3D35    42FC43BD    42FC4A42    42FC50C4    42FC574C    42FC5DCE    42FC6455    42FC6AD9    42FC715D    3E25E354    3E26E979    
42FC84EE    42FC8B74    42FC91FB    42FC987F    42FC9F04    42FCA58A    42FCAC0E    42FCB297    42FCB91E    42FCBFA0    42FCC621    42FCCCAA    42FCD32C    42FCD9B7    3E3645A2    3E374BC7    
42FCED45    42FCF3C9    42FCFA51    42FD00D2    42FD075B    42FD0DE1    42FD1463    42FD1AE8    42FD216E    42FD27F8    42FD2E7E    42FD34FF    42FD3B86    42FD4209    3E46A7F0    3E47AE14    
42FD5598    42FD5C1F    42FD62A5    42FD6928    42FD6FB0    42FD7633    42FD7CB9    42FD833F    42FD89C3    42FD904B    42FD96D1    42FD9D56    42FDA3DC    42FDAA61    3E570A3D    3E581062    
42FDBDF0    42FDC475    42FDCAF8    42FDD181    42FDD803    42FDDE87    42FDE50C    42FDEB93    42FDF219    42FDF89F    42FDFF23    42FE05A6    42FE0C2F    42FE12B6    3E676C8B    3E6872B0    
42FE2644    42FE2CC8    42FE3351    42FE39D7    42FE405B    42FE46DD    42FE4D64    42FE53EC    42FE5A70    42FE60F3    42FE677A    42FE6DFE    42FE7486    42FE7B06    3E77CED9    3E78D4FE    
42FE8E99    42FE9520    42FE9BA4    42FEA229    42FEA8B3    42FEAF36    42FEB5BB    42FEBC40    42FEC2C2    42FEC94A    42FECFD1    42FED652    42FEDCD9    42FEE360    3E841893    3E849BA6    
42FEF6F2    42FEFD75    42FF03FB    42FF0A81    42FF1103    42FF1789    42FF1E10    42FF2493    42FF2B19    42FF319E    42FF3824    42FF3EAA    42FF4532    42FF4BB2    3E8C49BA    3E8CCCCD    
