program starts ... 
io initialization starts ... 
writing initial data to files ...
calculating golden model ... 
calculating using sim model ... 
result comparison ...
diff_out_fm[0][0][30] = -1020891.1 0.62 632953.12
diff_out_fm[0][0][31] = -494040.09 0.63999999 316186.28
diff_out_fm[0][1][30] = -502605.84 1.26 633284.62
diff_out_fm[0][1][31] = -247148.91 1.28 316351.88
diff_out_fm[0][2][30] = -333481.19 1.9 633616.12
diff_out_fm[0][2][31] = -164851.86 1.92 316517.47
diff_out_fm[0][3][30] = -249584.66 2.54 633947.56
diff_out_fm[0][3][31] = -123703.31 2.5599999 316683.03
diff_out_fm[0][4][30] = -199457.81 3.1800001 634279.06
diff_out_fm[0][4][31] = -99014.188 3.2 316848.59
diff_out_fm[0][5][30] = -166127.41 3.8199999 634610.5
diff_out_fm[0][5][31] = -82554.781 3.8399999 317014.19
diff_out_fm[0][6][30] = -142362.67 4.46 634941.94
diff_out_fm[0][6][31] = -70798.055 4.48 317179.75
diff_out_fm[0][7][30] = -124562.41 5.0999999 635273.44
diff_out_fm[0][7][31] = -61980.512 5.1199999 317345.34
diff_out_fm[0][8][30] = -110731.57 5.7399998 635604.94
diff_out_fm[0][8][31] = -55122.426 5.7600002 317510.94
diff_out_fm[0][9][30] = -99675.555 6.3800001 635936.44
diff_out_fm[0][9][31] = -49635.953 6.4000001 317676.5
diff_out_fm[0][10][30] = -90635.445 7.02 636267.81
diff_out_fm[0][10][31] = -45147.027 7.04 317842.09
diff_out_fm[0][11][30] = -83105.969 7.6599998 636599.38
diff_out_fm[0][11][31] = -41406.25 7.6799998 318007.69
diff_out_fm[0][12][30] = -76737.648 8.3000002 636930.81
diff_out_fm[0][12][31] = -38240.98 8.3199997 318173.25
diff_out_fm[0][13][30] = -71281.133 8.9399996 637262.25
diff_out_fm[0][13][31] = -35527.887 8.96 318338.84
diff_out_fm[0][14][30] = -66553.664 9.5799999 637593.69
diff_out_fm[0][14][31] = -33176.543 9.6000004 318504.44
diff_out_fm[0][15][30] = -62418.289 10.22 637925.19
diff_out_fm[0][15][31] = -31119.117 10.24 318670
diff_out_fm[0][16][30] = -58770.336 10.86 638256.69
diff_out_fm[0][16][31] = -29303.742 10.88 318835.59
diff_out_fm[0][17][30] = -55528.402 11.5 638588.12
diff_out_fm[0][17][31] = -27690.072 11.52 319001.19
diff_out_fm[0][18][30] = -52628.293 12.14 638919.62
diff_out_fm[0][18][31] = -26246.266 12.16 319166.75
diff_out_fm[0][19][30] = -50018.648 12.78 639251.06
diff_out_fm[0][19][31] = -24946.836 12.8 319332.31
diff_out_fm[0][20][30] = -47657.906 13.42 639582.56
diff_out_fm[0][20][31] = -23771.166 13.44 319497.91
diff_out_fm[0][21][30] = -45512.086 14.06 639914
diff_out_fm[0][21][31] = -22702.373 14.08 319663.5
diff_out_fm[0][22][30] = -43553.113 14.7 640245.44
diff_out_fm[0][22][31] = -21726.518 14.72 319829.06
diff_out_fm[0][23][30] = -41757.602 15.34 640576.94
diff_out_fm[0][23][31] = -20831.984 15.36 319994.66
diff_out_fm[0][24][30] = -40105.91 15.98 640908.44
diff_out_fm[0][24][31] = -20009.016 16 320160.25
diff_out_fm[0][25][30] = -38581.422 16.620001 641239.88
diff_out_fm[0][25][31] = -19249.352 16.639999 320325.81
diff_out_fm[0][26][30] = -37169.992 17.26 641571.31
diff_out_fm[0][26][31] = -18545.953 17.280001 320491.38
diff_out_fm[0][27][30] = -35859.496 17.9 641902.88
diff_out_fm[0][27][31] = -17892.805 17.92 320656.97
diff_out_fm[0][28][30] = -34639.465 18.540001 642234.25
diff_out_fm[0][28][31] = -17284.699 18.559999 320822.56
diff_out_fm[0][29][30] = -33500.867 19.18 642565.81
diff_out_fm[0][29][31] = -16717.133 19.200001 320988.16
diff_out_fm[0][30][0] = -33361.957 19.219999 641236.06
diff_out_fm[0][30][1] = -33327.816 19.24 641246.44
diff_out_fm[0][30][2] = -33293.746 19.26 641256.81
diff_out_fm[0][30][3] = -33259.742 19.280001 641267.12
diff_out_fm[0][30][4] = -33225.809 19.299999 641277.38
diff_out_fm[0][30][5] = -33191.957 19.32 641287.88
diff_out_fm[0][30][6] = -33158.16 19.34 641298.12
diff_out_fm[0][30][7] = -33124.434 19.360001 641308.44
diff_out_fm[0][30][8] = -33090.789 19.379999 641318.81
diff_out_fm[0][30][9] = -33057.203 19.4 641329.12
diff_out_fm[0][30][10] = -33023.688 19.42 641339.44
diff_out_fm[0][30][11] = -32990.246 19.440001 641349.88
diff_out_fm[0][30][12] = -32956.875 19.459999 641360.19
diff_out_fm[0][30][13] = -32923.559 19.48 641370.44
diff_out_fm[0][30][14] = -32890.324 19.5 641380.81
diff_out_fm[0][30][15] = -32857.156 19.52 641391.19
diff_out_fm[0][30][16] = -32824.051 19.540001 641401.56
diff_out_fm[0][30][17] = -32791.016 19.559999 641411.81
diff_out_fm[0][30][18] = -32758.057 19.58 641422.31
diff_out_fm[0][30][19] = -32725.148 19.6 641432.56
diff_out_fm[0][30][20] = -32692.314 19.620001 641442.88
diff_out_fm[0][30][21] = -32659.549 19.639999 641453.12
diff_out_fm[0][30][22] = -32626.854 19.66 641463.62
